"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"IC_M4";"TMC2100";"TMC2100";"QFN36";"TMC2100";"1460-1128-1-ND";"";"";"";"";"";
"L1_REG";"33u";"INDUCTOR";"INDUCTOR";"Inductor";"PM124SH-330M-RCCT-ND ";"";"";"";"";"";
"LED";"RGBLED";"RGBLED";"RGBLED";"RGB LED";"160-1446-1-ND";"";"";"";"";"";
"NOZZLE";"";"MA04-12.54";"MA04-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"OUTLINE";"OUTLINE";"OUTLINE";"OUTLINE";"Board outline";"";"";"";"";"";"";
"P0.17";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";
"P0.21";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";
"PI_HEADER";"";"MA20-2";"MA20-2";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"POT_M1";"TRIMPOT";"TRIMPOT";"TRIMPOT";"Trimpot";"3314R-1-103ECT-ND";"";"";"";"";"";
"POT_M2";"TRIMPOT";"TRIMPOT";"TRIMPOT";"Trimpot";"3314R-1-103ECT-ND";"";"";"";"";"";
"POT_M3";"TRIMPOT";"TRIMPOT";"TRIMPOT";"Trimpot";"3314R-1-103ECT-ND";"";"";"";"";"";
"POT_M4";"TRIMPOT";"TRIMPOT";"TRIMPOT";"Trimpot";"3314R-1-103ECT-ND";"";"";"";"";"";
"Q1_BED";"MOSFET";"MOSFET";"MOSFET";"MOSFET";"NTMFS5C604NLT1GOSCT-ND";"";"";"";"";"";
"Q1_FAN1";"MOSFETSOT23";"MOSFETSOT23";"SOT23_FAN";"MOSFET";"BSS316N H6327CT-ND ";"";"";"";"";"";
"Q1_FAN2";"MOSFETSOT23";"MOSFETSOT23";"SOT23_FAN";"MOSFET";"BSS316N H6327CT-ND ";"";"";"";"";"";
"Q1_NOZ";"MOSFET";"MOSFET";"MOSFET";"MOSFET";"NTMFS5C604NLT1GOSCT-ND";"";"";"";"";"";
"R1_BED";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_FAN1";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_FAN2";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_LED";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_M1";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_M2";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_M3";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_M4";"20k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_NOZ";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_SWA";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_SWX";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_SWY";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R1_SWZ";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2_BED";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
